"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030105a Frogner";"45 years";611
"030105a Frogner";"46 years";634
"030105a Frogner";"47 years";662
"030105a Frogner";"48 years";622
"030105a Frogner";"49 years";700
"030105a Frogner";"50 years";652
"030105a Frogner";"51 years";662
"030105a Frogner";"52 years";693
"030105a Frogner";"53 years";708
"030105a Frogner";"54 years";698
"030105a Frogner";"55 years";743
"030105a Frogner";"56 years";690
"030105a Frogner";"57 years";693
"030105a Frogner";"58 years";670
"030105a Frogner";"59 years";660
"030105a Frogner";"60 years";574
"030105a Frogner";"61 years";584
"030105a Frogner";"62 years";573
"030105a Frogner";"63 years";557
"030105a Frogner";"64 years";533
"030105a Frogner";"65 years";519
"030105a Frogner";"66 years";480
"030105a Frogner";"67 years";489
"030105a Frogner";"68 years";462
"030105a Frogner";"69 years";437
"030105a Frogner";"70 years";466
"030105a Frogner";"71 years";454
"030105a Frogner";"72 years";441
"030105a Frogner";"73 years";474
"030105a Frogner";"74 years";494
"030105a Frogner";"75 years";533
"030105a Frogner";"76 years";451
"030105a Frogner";"77 years";410
"030105a Frogner";"78 years";411
"030105a Frogner";"79 years";275
"030105a Frogner";"80 years";242
"030105a Frogner";"81 years";257
"030105a Frogner";"82 years";246
"030105a Frogner";"83 years";218
"030105a Frogner";"84 years";179
"030105a Frogner";"85 years";160
"030105a Frogner";"86 years";147
"030105a Frogner";"87 years";128
"030105a Frogner";"88 years";114
"030105a Frogner";"89 years";80
"030105a Frogner";"90 years";87
"030105a Frogner";"91 years";82
"030105a Frogner";"92 years";54
"030105a Frogner";"93 years";51
"030105a Frogner";"94 years";30
"030105a Frogner";"95 years";21
"030105a Frogner";"96 years";26
"030105a Frogner";"97 years";20
"030105a Frogner";"98 years";13
"030105a Frogner";"99 years";7
"030105a Frogner";"100 years";6
"030105a Frogner";"101 years";5
"030105a Frogner";"102 years";3
"030105a Frogner";"103 years";2
"030105a Frogner";"104 years";1
"030105a Frogner";"105 years or older";12
"030106a Ullern";"0 years";414
"030106a Ullern";"1 year";427
"030106a Ullern";"2 years";395
"030106a Ullern";"3 years";381
"030106a Ullern";"4 years";370
"030106a Ullern";"5 years";400
"030106a Ullern";"6 years";388
"030106a Ullern";"7 years";422
"030106a Ullern";"8 years";369
"030106a Ullern";"9 years";406
"030106a Ullern";"10 years";411
"030106a Ullern";"11 years";406
"030106a Ullern";"12 years";443
"030106a Ullern";"13 years";384
"030106a Ullern";"14 years";423
"030106a Ullern";"15 years";418
"030106a Ullern";"16 years";409
"030106a Ullern";"17 years";346
"030106a Ullern";"18 years";357
"030106a Ullern";"19 years";349
"030106a Ullern";"20 years";337
